,AUT_NY.ADJ.NNTY.PC.CD,BGR_NY.ADJ.NNTY.PC.CD,BHR_NY.ADJ.NNTY.PC.CD,BRA_NY.ADJ.NNTY.PC.CD,BRN_NY.ADJ.NNTY.PC.CD,CAN_NY.ADJ.NNTY.PC.CD,CHE_NY.ADJ.NNTY.PC.CD,CHL_NY.ADJ.NNTY.PC.CD,COL_NY.ADJ.NNTY.PC.CD,CYP_NY.ADJ.NNTY.PC.CD,DNK_NY.ADJ.NNTY.PC.CD,ESP_NY.ADJ.NNTY.PC.CD,FIN_NY.ADJ.NNTY.PC.CD,GBR_NY.ADJ.NNTY.PC.CD,GRC_NY.ADJ.NNTY.PC.CD,IRL_NY.ADJ.NNTY.PC.CD,JAM_NY.ADJ.NNTY.PC.CD,JOR_NY.ADJ.NNTY.PC.CD,JPN_NY.ADJ.NNTY.PC.CD,KOR_NY.ADJ.NNTY.PC.CD,MUS_NY.ADJ.NNTY.PC.CD,NGA_NY.ADJ.NNTY.PC.CD,NLD_NY.ADJ.NNTY.PC.CD,NOR_NY.ADJ.NNTY.PC.CD,PAN_NY.ADJ.NNTY.PC.CD,POL_NY.ADJ.NNTY.PC.CD,PRT_NY.ADJ.NNTY.PC.CD,SAU_NY.ADJ.NNTY.PC.CD,SGP_NY.ADJ.NNTY.PC.CD,SWE_NY.ADJ.NNTY.PC.CD,USA_NY.ADJ.NNTY.PC.CD,ZMB_NY.ADJ.NNTY.PC.CD
1991,18906.06152022472,955.5230042655033,6271.815396594847,1868.3604553602897,10328.675299262766,17586.4766020718,,2181.0481217532883,1219.5420343460967,8310.265625,21534.66946746327,12890.713403727768,19436.166382284064,17154.96194289921,,11546.710311255676,1354.1162979403964,984.1303134576758,23156.460763039755,6701.8529953833295,2532.725168016717,392.5487168104821,17656.303221939605,21541.914139443707,2424.346865709208,1311.334236966793,7693.710648527339,6490.885836133195,12202.454542901734,26549.294041137353,20284.23992305422,282.56964460591286
1992,20999.647418165372,1029.5110503922851,5880.375743348513,1760.4969321281437,11069.696874429665,16735.09110173121,,2680.842107655008,1443.7795017425951,9681.50390625,23726.497062695184,14016.85258870965,16722.815043861534,17960.75283789092,,12710.589392089207,1200.3610305666698,1188.2927703930216,24932.55980731525,7058.165447530516,2793.5900952462976,361.79661496415844,19305.401802869645,23144.743943344776,2788.5667762874036,1526.956160250106,9395.092881834242,6602.06847363169,13795.02974810326,26897.011803852114,21195.537028015195,265.06038746402834
1993,20251.09894117043,1079.9213603372255,6080.656611437355,1941.8513646493684,10536.441789661098,16170.209939432167,,2886.287637883253,1638.9723011843078,9017.1201171875,22174.203832387866,11586.470606583322,13110.861053307415,16162.179534613237,,11914.630726425365,1955.5869498783763,1205.780285346577,28050.30568496543,7693.671759337583,2757.945701600311,180.02135300533058,18777.693026154375,21015.147319652035,3004.069488471992,1756.538835956796,8262.714660937852,6195.523276813482,15241.773423849463,19711.194006764876,21893.222604874943,282.43020938876066
1994,21546.584564018834,1001.3334209618703,6513.3009403641445,2710.7749328591485,10370.152082493501,16017.944157000376,,3221.928779206215,2003.2185425369853,9940.1640625,24288.285225407497,11476.813920655632,15458.384598248542,17726.879047972856,,12930.856230278889,1876.6350822694433,1283.3841166349341,31293.521187714694,9013.013682389026,2898.706433544255,238.39421034712723,20271.8478771503,22345.28118513573,3168.570604282518,2282.401479244228,8591.61386965259,5991.888798076366,18683.653146838857,21623.408110878405,23103.561404024305,317.7948356550718
1995,25386.488727794876,2062.436164041924,6941.126711586435,4065.6350695205897,11706.001974685905,16619.92657840728,40553.4882471773,4097.932520470998,2205.0614510283667,12442.8740234375,28791.977405058646,13448.340873000814,20756.432139346176,19281.295869874077,,15304.226437200781,2267.78059952147,1340.3387767172724,34830.748925500986,10703.034359357976,3216.2275706590544,315.5189511994959,24342.433899434607,26850.074154499558,3075.090167333144,3089.875429546103,10041.03488135696,6192.26530404799,21917.98651669173,25357.171908753306,24106.773225744557,313.4658276673244
1996,25025.553419868684,1321.4893144530092,6787.126345189757,4474.081868474057,12023.722177381056,17002.699841705322,39111.01516391708,4357.17789822961,2233.9538544574934,12306.1826171875,29008.818889322098,13900.048613787736,20573.835345882868,20267.47456519192,,16767.88143267862,2584.9302441524237,1325.7926227728592,31065.901673894732,11335.620482458691,3443.8754311165294,359.1896438275648,24320.397274627125,28212.573484628436,3213.6228316114516,3508.289669113852,10379.760806850692,6400.230310260851,22712.22661299448,27555.750884238296,25325.974712450203,289.92577442366166
1997,22282.145263577208,1231.0701941064967,6718.708161415123,4508.4428864197325,11941.89117800134,17542.888960405468,34659.04430802553,4728.67247515905,2412.609299005718,11472.2919921875,26692.157857310445,12723.866037772856,20045.582869475773,22819.647257644665,,17871.612898186693,2928.3117628279415,1361.4838135853868,28128.501040038715,10379.690776285765,3191.6613741933093,380.5015993245382,22413.37005336139,28300.191757994777,3338.3158871602604,3499.555848614891,9810.453578846653,6653.041682017398,23608.05212080311,25246.407112049747,26804.187221024364,345.29635540861887
1998,22789.998689281114,1600.716055526194,6880.754913421375,4264.07553939894,9834.46953958704,16794.229268229104,35760.723232834425,4583.06318870632,2202.3729134953383,13496.974609375,27333.07574997714,13323.801233831513,21136.333602999748,24813.523591514415,,19104.26102272521,3025.49309966873,1467.6444917831361,25348.864560789163,6659.153457682319,3134.2776403437633,389.1119408438973,23160.033593154392,27906.675610469363,3533.4505042119777,3847.9342650169547,10359.037516454997,5865.093176795451,18971.848758599215,25552.046732452836,28277.595088483835,268.39980365969444
1999,22355.194500153775,1439.8227979383175,6607.0188151262555,2837.4693247258383,10418.716740062317,17868.200033476478,34989.61588476147,4067.053865635905,1833.4829699958582,12438.0390625,27386.233271439978,13617.51853067473,21508.94634911046,24834.767237856533,,19985.81201682053,3004.376349845193,1471.658396512039,28509.35820435991,8686.61891086988,3241.5300030746203,422.1114145865421,23844.124513302355,28327.11987947591,3556.8450873468973,3746.8954268360667,10587.887064196519,6360.78988519462,18719.43405831992,26206.53854074454,29584.421583498384,264.62861773049895
2000,20391.623865178666,1373.0151326003786,8632.094190846085,3049.840015708788,11952.89207488195,19386.4454096933,32930.97965713081,4103.771597939596,2057.273244426495,11346.9306640625,24662.62923598064,12777.724468746765,20068.261909197638,24401.02043315726,,19929.949526714627,3031.3369837750447,1558.7185030604187,30664.41044119873,10066.420098535273,3468.9993904390108,408.9907607474756,21979.629741479537,27940.509635681134,3584.1845713934727,3847.90105765596,9581.170965536548,6907.058622500684,20280.94915352767,25025.380673076266,31166.93814124143,260.71349707767035
